Full Name,Overall,Potential,Value(in Euro),Age
Pierre-Emerick Aubameyang,85,85,34500000,33
Jordi Alba Ramos,85,85,28000000,33
Sergio Busquets Burgos,85,85,26500000,33
Iago Aspas Juncal,85,85,26000000,34
Paul Pogba,85,85,52500000,29
Memphis Depay,85,85,55000000,28
Luiz Frello Filho Jorge,85,85,51500000,30
Marcos Acuña,85,85,46500000,30
Gerard Moreno Balagueró,85,85,53000000,30
Yannick Carrasco,85,85,54500000,28
Filip Kostić,85,85,53000000,29
Jamie Vardy,85,85,23000000,35
Pedro González López,85,93,116000000,19
Phil Foden,85,92,109500000,22
Matthijs de Ligt,85,89,71000000,22
Patrik Schick,85,87,67500000,26
Theo Hernández,85,90,76000000,24
Diogo José Teixeira da Silva,85,89,76000000,25
Péter Gulácsi,85,85,26500000,32
Yann Sommer,85,85,17500000,33
Marco Reus,85,85,33500000,33
Lucas Hernández,84,86,46000000,26
Sergio Ramos García,84,84,7500000,36
Alejandro Gómez,84,84,20000000,34
Samir Handanovič,84,84,4700000,37
Dries Mertens,84,84,18000000,35
Luis Suárez,84,84,18000000,35
Dušan Tadić,84,84,26500000,33
Domenico Berardi,84,84,45000000,27
Thomas Partey,84,84,36000000,29
Yassine Bounou,84,84,22500000,31
Hakan Çalhanoğlu,84,84,42000000,28
Mateo Kovačić,84,84,42000000,28
Jack Grealish,84,84,46000000,26
Daniel Carvajal Ramos,84,84,36500000,30
Stefan Savić,84,84,29000000,31
Emiliano Martínez,84,84,29000000,29
Raphaël Varane,84,85,39000000,29
Wissam Ben Yedder,84,84,35500000,31
Lorenzo Insigne,84,84,35000000,31
Mats Hummels,84,84,20000000,33
Stefan de Vrij,84,84,34500000,30
Joel Matip,84,84,34500000,30
Koen Casteels,84,85,31500000,30
Sergio Canales Madrazo,84,84,35000000,31
Iker Muniain Goñi,84,84,41500000,29
Kieran Trippier,84,84,30500000,31
Leonardo Bonucci,84,84,11000000,35
Ángel Di María,84,84,20000000,34
Eden Hazard,84,84,35000000,31
Ivan Perišić,84,84,26500000,33
Edin Džeko,84,84,14500000,36
Giorgio Chiellini,84,84,7500000,37
Rodrigo Javier De Paul,84,84,42000000,28
Jude Bellingham,84,91,81500000,19
Federico Chiesa,84,90,66500000,24
Moussa Diaby,84,88,61500000,22
Jamie Tartt,84,91,85500000,24
Rafael da Conceição Leão,84,90,66500000,23
Jules Koundé,84,89,57500000,23
Youri Tielemans,84,86,52500000,25
Sandro Tonali,84,90,62500000,22
Luis Díaz,84,87,56000000,25
Éder Gabriel Militão,84,89,57500000,24
Federico Valverde,84,90,66000000,23
Leroy Sané,84,85,49500000,26
Reece James,84,88,57000000,22
Alessandro Bastoni,84,90,60500000,23
Kai Havertz,84,91,84500000,23
João Félix Sequeira,84,90,68500000,22
Achraf Hakimi,84,87,53500000,23
Alphonso Davies,84,89,60500000,21
Declan Rice,84,87,52000000,23
Mason Mount,84,87,57500000,23
Jadon Sancho,84,88,61500000,22
Fikayo Tomori,84,90,60500000,24
Franck Yannick Kessié,84,86,47500000,25
Mikel Oyarzabal Ugarte,84,86,53000000,25
Lorenzo Pellegrini,84,87,55000000,26
Wilfred Ndidi,84,86,47500000,25
Marcos Llorente Moreno,84,85,48000000,27
Martin Ødegaard,84,89,63500000,23
Dušan Vlahović,84,91,86500000,22
Diego Carlos Santos Silva,83,83,30500000,29
José Ángel Esmoris Tasende,83,85,42000000,25
Ousmane Dembélé,83,86,48000000,25
Marco Asensio Willemsen,83,84,43000000,26
Rúben Diogo da Silva Neves,83,86,47500000,25
Mikel Merino Zazón,83,86,47000000,26
Konrad Laimer,83,84,38500000,25
Presnel Kimpembe,83,86,42000000,26
Fabián Ruiz Peña,83,85,44500000,26
Ferland Mendy,83,84,38000000,27
Ronaldo Jailson Cabrais Petri,83,83,35000000,30
Gabriel Fernando de Jesus,83,86,48500000,25
Unai Simón Mendibil,83,86,37000000,25
Victor Osimhen,83,89,58000000,23
Pierre-Emile Højbjerg,83,85,40500000,26
Cristian Romero,83,88,49500000,24
Raphael Dias Belloli,83,86,48000000,25
Carlos Soler Barragán,83,88,53000000,25
Gregor Kobel,83,88,44000000,24
Pau Francisco Torres,83,89,50500000,25
Cody Gakpo,83,87,52000000,23
Ronald Araujo,83,89,52000000,23
Roy Kent,83,83,0,40
Duván Zapata,83,83,30500000,31
Ángel Correa,83,84,42500000,27
José María Giménez,83,85,38500000,27
Thomas Lemar,83,86,47000000,26
Gleison Bremer Silva Nascimento,83,87,45500000,25
Juan Cuadrado,83,83,13500000,34
Piotr Zieliński,83,83,36500000,28
Jesús Navas González,83,83,8000000,36
Gerard Piqué Bernabeu,83,83,9500000,35
Kasper Schmeichel,83,83,4000000,35
Jordan Henderson,83,83,28500000,32
Fernando Reges Mouta,83,83,12500000,34
Lukáš Hrádecký,83,83,18000000,32
David Josué Jiménez Silva,83,83,12000000,36
Oliver Baumann,83,83,18000000,32
Antoine Griezmann,83,83,30500000,31
Luis Alberto Romero Alconchel,83,83,35500000,29
Roberto Firmino Barbosa de Oliveira,83,83,35500000,30
John Stones,83,84,34500000,28
Hakim Ziyech,83,83,35500000,29
Jorge Resurrección,83,83,34500000,30
Ricardo Barbosa Pereira,83,83,33000000,28
James Maddison,82,84,38000000,25
Gerónimo Rulli,82,82,20500000,30
Andrej Kramarić,82,82,25500000,31
Rafael A. Ferreira Silva,82,82,30000000,29
Giovanni Di Lorenzo,82,82,27500000,28
David Soria Solís,82,82,21000000,29
Manuel Locatelli,82,86,40000000,24
Robin Gosens,82,82,29500000,27
Gonçalo Manuel Ganchinho Guedes,82,85,41000000,25
Jonathan Tah,82,84,33500000,26
Andreas Christensen,82,86,37500000,26
Emre Can,82,82,30500000,28
Anderson Souza Conceição,82,82,31000000,28
Julian Brandt,82,85,40000000,26
Timo Werner,82,84,38000000,26
José Luís Gayà Peña,82,83,32000000,27
Otávio Edmilson da Silva Monteiro,82,82,32500000,27
Alejandro Grimaldo García,82,83,33000000,26
Raphaël Guerreiro,82,82,27500000,28
André Onana,82,85,30500000,26
Matthias Ginter,82,83,29000000,28
Sébastien Haller,82,82,31000000,28
Aritz Elustondo,82,83,29000000,28
Tammy Abraham,82,85,42000000,24
Ismaël Bennacer,82,86,40000000,24
Alejandro Remiro Gargallo,82,84,28000000,27
Dani Rojas,82,83,36500000,26
Florian Wirtz,82,91,66000000,19
Antony Matheus dos Santos,82,88,49000000,22
Darwin Núñez,82,89,61500000,23
Nico Schlotterbeck,82,88,44500000,22
Bukayo Saka,82,89,60500000,20
Daniel Olmo Carvajal,82,87,46000000,24
Aurélien Tchouaméni,82,89,61500000,22
Ferran Torres García,82,88,49000000,22
Noussair Mazraoui,82,86,40500000,24
Arnaut Danjuma,82,83,36500000,25
Aaron Ramsdale,82,86,34500000,24
Lucas Tolentino Coelho de Lima,82,87,46000000,24
Denzel Dumfries,82,84,34500000,26
Ruslan Malinovskyi,82,82,30500000,29
Raúl Jiménez,82,82,25500000,31
Josué Durval Chiamulera Vaz,82,82,25000000,30
Lucas Luciano Mantela Patrício,82,82,27000000,22
Ben Chilwell,82,85,37000000,25
André Miguel Valente da Silva,82,84,38000000,26
Christian Pulisic,82,88,48000000,23
Jordan Pickford,82,84,26000000,28
Sergi Darder Moll,82,82,30500000,28
Willi Orban,82,82,25500000,29
Idrissa Gueye,82,82,20500000,32
Zlatan Ibrahimović,82,82,0,40
Iñigo Martínez Berridi,82,82,21000000,31
Łukasz Fabiański,82,82,3400000,37
Ivan Rakitić,82,82,14000000,34
Dimitri Payet,82,82,12500000,35
Rui Pedro dos Santos Patrício,82,82,5000000,34
Olivier Giroud,82,82,13000000,35
Simon Kjær,82,82,14500000,33
Yuri Berchiche Izeta,82,82,21000000,32
Toby Alderweireld,82,82,14500000,33
Marko Arnautović,82,82,19500000,33
César Azpilicueta Tanco,82,82,20000000,32
Philippe Coutinho Correia,82,82,29500000,30
Christian Eriksen,82,82,29000000,30
Raúl Albiol Tortajada,82,82,5500000,36
Sebastián Coates,82,82,21000000,31
Lucas Digne,82,82,27500000,28
Francisco Román Alarcón Suárez,82,82,29500000,30
Geoffrey Kondogbia,82,82,29500000,29
Gabriel Armando de Abreu,82,82,21000000,31
José Ignacio Fernández Iglesias,82,82,20000000,32
Kevin Volland,82,82,30500000,29
Leonardo Spinazzola,82,82,27000000,29
Steven Berghuis,82,82,29500000,30
Anthony Lopes,82,82,16000000,31
Luis Muriel,82,82,25500000,31
Wilfried Zaha,82,82,30000000,29
Francesco Acerbi,82,82,10000000,34
Evan Ndicka,81,85,34000000,22
Tomáš Souček,81,83,28000000,27
Antonín Barák,81,82,30000000,27
Martin Terrier,81,84,34000000,25
David Raum,81,85,34500000,24
Yves Bissouma,81,86,34500000,25
Alphonse Areola,81,82,20000000,29
Ibrahim Sangaré,81,86,35500000,24
Jesús Corona,81,81,25500000,29
Thomas Delaney,81,81,21500000,30
Alexandre Lacazette,81,81,22000000,31
Nicolò Zaniolo,81,88,53000000,22
Norberto Murara Neto,81,81,13000000,32
Ibrahima Konaté,81,88,48000000,23
Pedro Antonio Porro Sauceda,81,87,38500000,22
Marc Cucurella Saseta,81,85,34500000,23
Lisandro Martínez,81,86,35000000,24
Matheus Santos Carneiro Da Cunha,81,86,39500000,23
Pedro António Pereira Gonçalves,81,86,39000000,24
Mehdi Taremi,81,81,25500000,29
Rodrygo Silva de Goes,81,88,52500000,21
Edmond Tapsoba,81,86,35000000,23
Dejan Kulusevski,81,87,41500000,22
Bruno Guimarães Moura,81,86,38500000,24
Joško Gvardiol,81,89,53000000,20
Jamal Musiala,81,90,55500000,19
Sam Obisanya,81,88,52500000,22
Pablo Sarabia García,81,81,25000000,30
Marc Bartra Aregall,81,81,17500000,31
Felipe Augusto de Almeida Monteiro,81,81,12500000,33
Harry Maguire,81,82,24000000,29
Juan Heberto Mestres de Mesquita,81,81,24500000,26
Marvin Oswaldo Rangel Azevedo,81,81,25500000,30
Nailton Padrenda Mendes,81,81,28000000,26
Welington Kauê Dano Nascimento,81,81,27500000,22
Louri Adriano Bisesi Barbosa,81,81,25500000,30
Rosival Jailson Dourado Santos,81,81,27000000,22
Adryan Juliano Zonta Torres,81,81,22000000,30
Gianluca Mancini,81,83,28000000,26
Guido Rodríguez,81,82,26500000,27
Dayot Upamecano,81,87,37000000,23
João Maria Palhinha Gonçalves,81,83,28500000,26
Denis Zakaria,81,86,34500000,25
Manuel Akanji,81,82,26500000,26
André-Franck Zambo Anguissa,81,83,28500000,26
Kieran Tierney,81,85,33000000,25
Marcus Rashford,81,85,37000000,24
Richarlison de Andrade,81,84,34500000,25
Gabriel dos S. Magalhães,81,87,37000000,24
Henrikh Mkhitaryan,81,81,16000000,33
Nicolás Otamendi,81,81,8500000,34
Mario Götze,81,81,25000000,30
Chris Smalling,81,81,16500000,32
Nick Pope,81,81,17000000,30
Rafael Tolói,81,81,17500000,31
Edinson Cavani,81,81,11000000,35
Éver Banega,81,81,12000000,34
Antonio Adán Garrido,81,81,2900000,35
Gareth Bale,81,81,20500000,32
Jan Vertonghen,81,81,7000000,35
Carlos Vela,81,81,16000000,33
João Filipe Moutinho,81,81,10500000,35
Képler Laveran Lima Ferreira,81,81,4600000,39
Giovani Lo Celso,81,83,31500000,26
Oscar dos Santos Emboaba,81,81,25000000,30
Joe Gomez,81,86,34000000,25
José Pedro Malheiro de Sá,81,82,20000000,29
Borja Iglesias Quintás,81,81,25500000,29
James Ward-Prowse,81,82,29500000,27
Lucas Ocampos,81,81,27500000,27
Edin Višća,81,81,20500000,32
Téji Savanier,81,81,25000000,30
Emil Forsberg,81,81,25000000,30
Lucas Vázquez Iglesias,81,81,18500000,31
Gaëtan Laborde,81,81,26500000,28
Jonas Hofmann,81,81,25500000,29
Nicolás Tagliafico,81,81,22500000,29
Kerem Demirbay,81,81,25500000,28
Odisseas Vlachodimos,81,83,22000000,28
Vincenzo Grifo,81,81,25500000,29
Robert Andrich,81,82,26500000,27
Robin Le Normand,81,86,34000000,25
Ricardo Jorge da Luz Horta,81,81,28000000,27
Stanislav Lobotka,81,82,29500000,27
Kalvin Phillips,81,85,32000000,26
Mateus Uribe,81,81,21000000,31
Lucas Torreira,81,83,28500000,26
Mario Pašalić,81,81,27500000,27
Naby Keïta,81,82,29500000,27
Corentin Tolisso,81,81,27500000,27
Hirving Lozano,81,81,28000000,26
Matteo Politano,81,81,26000000,28
Allan Saint-Maximin,81,83,32500000,25
Seko Fofana,81,81,27500000,27
Iñaki Williams Arthuer,81,81,26500000,28
Juan Musso,81,82,20500000,28
Benjamin Bourigeaud,81,81,26000000,28
Youssef En-Nesyri,80,85,31500000,25
Javier Galán Gil,80,80,20500000,27
Florian Neuhaus,80,84,29000000,25
Harvey Barnes,80,83,29000000,24
Alexander Isak,80,85,33000000,22
Luis Sinisterra,80,86,33500000,23
Xaver Schlager,80,84,27500000,24
Daichi Kamada,80,82,26500000,25
Mauro Arambarri,80,85,28000000,26
Alban Lafont,80,85,25500000,23
Maikel Renan Catarino Fagundes,80,80,21000000,26
Renato Júnior Luz Sanches,80,85,31500000,24
Arthur Henrique Ramos Oliveira Melo,80,82,26500000,25
Tony Josimar Abranjes Meneses,80,80,7000000,34
Laureano Thomas Santeiro Marre,80,80,25000000,22
Héniton Enaldo Pires Tramontino,80,80,16500000,26
Mattéo Guendouzi,80,86,33000000,23
Leon Bailey,80,83,29000000,24
Aaron Wan-Bissaka,80,83,26500000,24
Djibril Sow,80,82,26500000,25
Mario Hermoso Canseco,80,82,22500000,27
Davide Calabria,80,83,25500000,25
Edson Álvarez,80,84,27500000,24
Teun Koopmeiners,80,84,30000000,24
Boubacar Kamara,80,86,31000000,22
Viktor Tsygankov,80,85,32000000,24
Marko Dmitrović,80,81,16000000,30
Isaac McAdoo,80,83,24500000,26
Jeremie Frimpong,80,86,31500000,21
Nuno Alexandre Tavares Mendes,80,88,44000000,20
Sven Botman,80,86,31000000,22
Jurriën Timber,80,88,44500000,21
Renan Augusto Lodi dos Santos,80,85,29500000,24
Sergio Reguilón Rodríguez,80,83,25500000,25
Vladimír Coufal,80,80,18500000,29
Amir Rrahmani,80,80,18000000,28
Scott McTominay,80,83,25000000,25
Lovro Majer,80,85,31500000,24
William Saliba,80,87,40000000,21
Dominik Livaković,80,83,20500000,27
Ridle Baku,80,84,30000000,24
Nicolás González,80,85,32000000,24
Emile Smith Rowe,80,87,43000000,21
Jonathan Clauss,80,80,18500000,29
Weston McKennie,80,85,31500000,23
Nikola Milenković,80,85,29000000,24
Nayef Aguerd,80,83,24500000,26
Nélson Cabral Semedo,80,80,19000000,28
Charles Aránguiz,80,80,10500000,33
Lucas Rodrigues M. Silva,80,80,20500000,29
Jonathan Viera Ramos,80,80,16500000,32
Danilo Luiz da Silva,80,80,18000000,30
Sergio Roberto Carnicer,80,80,18000000,30
Allan Marques Loureiro,80,80,15000000,31
Jasper Cillessen,80,80,7000000,33
Hans Vanaken,80,80,20500000,29
Stefan Ortega,80,80,14500000,29
Danilo Luís Hélio Pereira,80,80,17500000,30
Álvaro Borja Morata Martín,80,80,21000000,29
Luke Shaw,80,81,22500000,26
Cristiano Biraghi,80,80,18500000,29
Eric Dier,80,81,20000000,28
Gerard Deulofeu Lázaro,80,80,21500000,28
Thorgan Hazard,80,80,20500000,29
Tomáš Vaclík,80,80,0,33
Edgar Badia Guardiola,80,81,16000000,30
Kurt Zouma,80,82,22500000,27
Marcel Sabitzer,80,80,21000000,28
Kevin Kampl,80,80,17500000,31
Andy Delort,80,80,20500000,30
Bernd Leno,80,80,14000000,30
Alex Sandro Lobo Silva,80,80,15500000,31
Yeray Álvarez López,80,82,22500000,27
Guillermo Ochoa,80,80,0,36
Héctor Herrera,80,80,16500000,32
Andrea Consigli,80,80,2300000,35
Raúl García Escudero,80,80,9000000,35
José Miguel da Rocha Fonte,80,80,3800000,38
Marek Hamšík,80,80,9500000,34
Antonio Candreva,80,80,8500000,35
Simon Mignolet,80,80,3600000,34
José Luis Sanmartín Mato,80,80,17000000,32
David Ospina,80,80,7000000,33
Etienne Capoue,80,80,13000000,33
Georginio Wijnaldum,80,80,17500000,31
Max Kruse,80,80,10500000,34
Matteo Darmian,80,80,14500000,32
Francis Coquelin,80,80,17500000,31
Daley Blind,80,80,13500000,32
Alessio Cragno,80,81,16500000,28
Remo Freuler,80,80,20000000,30
Maximilian Arnold,80,81,20500000,28
Victor Lindelöf,80,81,21000000,27
Alexandre Moreno Lopera,80,80,18500000,29
Mahmoud Dahoud,80,82,26000000,26
Jeremías Conan Ledesma,80,82,17500000,29
Hamari Traoré,80,80,18000000,30
Ante Rebić,80,80,21000000,28
Hans Hateboer,80,80,19000000,28
Kepa Arrizabalaga,80,83,20500000,27
Dominic Calvert-Lewin,80,84,29500000,25
Lukas Klostermann,80,82,23000000,26
Joaquín Correa,80,80,23000000,27
Rick Karsdorp,80,81,22000000,27
Joan Jordán Moreno,80,80,22500000,27
Jarrod Bowen,80,83,28000000,25
Alejandro Berenguer Remiro,80,80,23000000,26
Steven Bergwijn,80,85,32000000,24
Emiliano Buendía,80,82,26500000,25
Uğurcan Çakır,80,84,22500000,26
Gianluca Scamacca,80,86,33500000,23
José Luis Morales Nogales,80,80,10000000,34
Martin Dúbravka,80,80,7000000,33
Walter Benítez,80,82,17500000,29
Leandro Paredes,80,80,18500000,28
Sardar Azmoun,80,81,24500000,27
William Silva de Carvalho,80,80,17500000,30
Bryan Cristante,80,82,23000000,27
Saúl Ñíguez Esclápez,80,81,24000000,27
Marten de Roon,80,80,15000000,31
Andrea Belotti,80,80,21500000,28
Frederico de Paula Santos,80,80,20500000,29
Christian Günter,80,80,18500000,29
Adrien Rabiot,80,81,24000000,27
Rui Tiago Dantas da Silva,80,82,18000000,28
Alessio Romagnoli,80,80,19500000,27
Carles Gil Pareja,80,80,20500000,29
Anthony Martial,80,83,28000000,26
Moussa Dembélé,80,83,28500000,25
Mark Flekken,80,81,16000000,29
Alex Nicolao Telles,80,80,18500000,29
Amine Gouiri,79,86,36000000,22
Nemanja Maksimović,79,80,20000000,27
Unai Núñez Gestoso,79,83,22000000,25
Orkun Kökçü,79,86,35500000,21
Anthony Nwakaeme,79,79,11000000,33
Luis Milla Manzanares,79,81,19000000,27
Tyrell Malacia,79,85,26500000,22
Jonathan David,79,85,28500000,22
Conor Gallagher,79,86,35500000,22
Alexis Sánchez,79,79,11000000,33
Pervis Estupiñán,79,83,23500000,24
Juan Foyth,79,84,24500000,24
Min Jae Kim,79,84,23000000,25
Dominik Szoboszlai,79,87,39500000,21
David Neres Campos,79,82,23000000,25
Angelo Ogbonna,79,79,5500000,34
Jérôme Boateng,79,79,8500000,33
Youssouf Fofana,79,84,24500000,23
Lars Stindl,79,79,11000000,33
Luís Manuel Arantes Maximiano,79,85,22500000,23
Diego López Rodríguez,79,79,1900000,40
Ryan Gravenberch,79,89,38500000,20
Anssumane Fati,79,90,38000000,19
Pedro Rodríguez Ledesma,79,79,8000000,34
George Goodman,79,79,15500000,29
Moe Bumbercatch,79,82,23000000,25
Pablo Martín Páez Gavira,79,88,36000000,17
Yeremy Jesús Pino Santos,79,87,38000000,19
Gonçalo Bernardo Inácio,79,88,36000000,20
Vítor Machado Ferreira,79,89,39500000,22
Matheus Luiz Nunes,79,86,35000000,23
Giacomo Raspadori,79,86,36000000,22
Samuel Chukwueze,79,85,27500000,23
Ali Musrati,79,83,22000000,26
Norberto Gomes Betuncal,79,82,24500000,24
Wesley Fofana,79,86,33000000,21
Eduardo Camavinga,79,89,38000000,19
Martín Zubimendi Ibáñez,79,86,35000000,23
Roger Ibañez Da Silva,79,83,22500000,23
Maxence Caqueret,79,85,26000000,22
Boulaye Dia,79,83,24500000,25
Manuel Lanzini,79,79,17000000,29
Vicente Guaita Panadero,79,79,1900000,35
Alfredo Talavera,79,79,0,39
Rodrigo Bentancur,79,83,24500000,25
Gonzalo Montiel,79,81,20000000,25
Ludovic Blas,79,83,25000000,24
Matheus Reis de Lima,79,82,20000000,27
Luan Vágner Boas Macedo,79,79,21000000,22
Bernard Gabriel Prestão Chaves,79,79,11500000,30
Melvin Luan Parrela Porfírio,79,79,18500000,22
Everton Jorge Andrade Zanon,79,79,17000000,26
Adnan Claudiano Vidual Machado,79,79,15000000,30
Ronaldo Diego Essler Domingues,79,79,19000000,22
Emelvin William Anjos Rochedo,79,79,3000000,34
Ezequiel Ávila,79,79,18000000,28
Oleksandr Zinchenko,79,82,21500000,25
Ezri Konsa,79,86,32500000,24
Agustín Rossi,79,83,19000000,26
Davinson Sánchez,79,80,18000000,26
Matty Cash,79,84,24500000,24
Benjamin Pavard,79,81,20000000,26
Pablo Fornals Malla,79,81,21500000,26
Nordi Mukiele,79,83,23500000,24
Nicolas Pépé,79,79,18500000,27
Alexandr Golovin,79,80,20500000,26
David García Zubiria,79,81,17500000,28
Ellyes Skhiri,79,80,18000000,27
Adam Marušić,79,79,15500000,29
Wout Weghorst,79,79,17500000,29
Jonas Omlin,79,81,15000000,28
Julian Weigl,79,80,20500000,26
Donny van de Beek,79,84,25500000,25
Donyell Malen,79,85,28000000,23
Rafael Mir Vicente,79,84,26000000,25
Benjamin White,79,86,32500000,24
Justin Bijlow,79,85,22500000,24
Steve Mandanda,79,79,1900000,37
Jonny Evans,79,79,5500000,34
Joaquín Sánchez Rodríguez,79,79,0,40
Daniel Wass,79,79,11000000,33
Óscar Trejo,79,79,8000000,34
Axel Witsel,79,79,8500000,33
Javier Hernández,79,79,8500000,34
Sergio Asenjo Andrés,79,79,5500000,33
Anthony Modeste,79,79,8500000,34
Fernando Muslera,79,79,1900000,36
Gianluigi Buffon,79,79,1900000,44
Owen Wijndal,79,83,24000000,22
Reinildo Isnard Mandava,79,79,16000000,28
Francisco José Beltrán Peinado,79,84,24500000,23
Cengiz Ünder,79,82,24000000,24
Lucas Veríssimo da Silva,79,82,20500000,26
Tanguy Ndombele,79,82,23000000,25
Salih Özcan,79,83,23000000,24
Manuel Lazzari,79,79,16000000,28
Houssem Aouar,79,84,26500000,24
Josip Brekalo,79,85,28000000,24
Diogo Meireles Costa,79,86,30500000,22
Emanuel Reynoso,79,80,20500000,26
Marcos Nascimento Teixeira,79,83,21500000,26
Dean Henderson,79,82,18000000,25
Takehiro Tomiyasu,79,85,26000000,23
Luka Jović,79,84,27000000,24
Pau López Sabata,79,82,17000000,27
Renato Tapia,79,81,19500000,26
Luuk de Jong,79,79,15000000,31
João Pedro G. Santos Galvão,79,79,17000000,30
Karim Bellarabi,79,79,14000000,32
James Tarkowski,79,79,14500000,29
Jesús Joaquín Fernández Sáez,79,79,17500000,28
Julian Draxler,79,79,17500000,28
Conor Coady,79,79,14500000,29
Felipe Anderson Pereira Gomes,79,79,17000000,29
Jordan Veretout,79,79,15000000,29
Ismaily Gonçalves dos S.,79,79,12000000,32
Agustín Marchesín,79,79,3000000,34
Lewis Dunk,79,79,14500000,30
Matz Sels,79,80,13000000,30
Granit Xhaka,79,79,15000000,29
Manuel Riemann,79,79,5500000,33
Sérgio Miguel Relvas de Oliveira,79,79,17000000,30
Mattia Zaccagni,79,79,18500000,27
Mattia Perin,79,80,13500000,29
Juan Miguel Jiménez López,79,79,17000000,29
Nicolás Lodeiro,79,79,11000000,33
Callum Wilson,79,79,17000000,30
Yaroslav Rakitskyi,79,79,11500000,32
Danny Ings,79,79,17500000,29
Nemanja Gudelj,79,79,14500000,30
Marcos Alonso Mendoza,79,79,12500000,31
Ander Herrera Agüera,79,79,14000000,32
Nemanja Matić,79,79,8500000,33
Marco Silvestri,79,79,9500000,31
Michail Antonio,79,79,14000000,32
Benjamin André,79,79,12500000,31
Davy Klaassen,79,79,17000000,29
Alessandro Florenzi,79,79,12500000,31
Héctor Bellerín Moruno,79,80,18500000,27
Arkadiusz Milik,79,79,18000000,28
Munir El Haddadi,79,79,19000000,26
Ludovic Ajorque,79,79,18000000,28
Dakonam Djené,79,79,14500000,30
Davide Zappacosta,79,79,15000000,30
Lucas Zelarayán,79,79,17000000,30
Franco Armani,79,79,1900000,35
Adama Traoré Diarra,79,80,20500000,26
João Mário N. Costa Eduardo,79,79,17000000,29
Federico Bernardeschi,79,79,17500000,28
Paul Ebere Onuachu,79,79,18000000,28
Nicolae Stanciu,79,79,17000000,29
Rubén García Santos,79,79,17500000,28
Chancel Mbemba,79,81,18500000,27
John McGinn,79,80,20000000,27
Jonathan Castro Otto,79,79,16000000,28
Rachid Ghezzal,79,79,17000000,30
Clinton Mukoni Mata Pedro Lourenço,79,79,15500000,29
Adnan Januzaj,79,79,18500000,27
Berat Djimsiti,79,79,14500000,29
Abdoulaye Doucouré,79,79,17000000,29
Matheus Lima Magalhães,79,80,13500000,29
Michael Keane,79,80,16000000,29
Leandro Trossard,79,79,18500000,27
Manuel Trigueros Muñoz,79,79,17000000,30
Ben Davies,79,79,14500000,29
