Full Name,Overall,Potential,Value(in Euro),Age,Height(in cm),Weight(in kg),Pace Total,Shooting Total,Dribbling Total
João Félix Sequeira,84,90,68500000,22,181,72,83,80,88
Achraf Hakimi,84,87,53500000,23,181,73,92,75,80
Alphonso Davies,84,89,60500000,21,185,77,94,66,85
Declan Rice,84,87,52000000,23,185,80,71,64,76
Mason Mount,84,87,57500000,23,180,74,74,81,82
Jadon Sancho,84,88,61500000,22,180,76,81,74,89
Fikayo Tomori,84,90,60500000,24,185,79,86,40,66
Franck Yannick Kessié,84,86,47500000,25,183,88,78,76,79
Mikel Oyarzabal Ugarte,84,86,53000000,25,181,79,79,83,83
Lorenzo Pellegrini,84,87,55000000,26,186,77,79,77,84
Wilfred Ndidi,84,86,47500000,25,183,74,66,62,73
Marcos Llorente Moreno,84,85,48000000,27,184,74,88,79,82
Martin Ødegaard,84,89,63500000,23,178,68,76,75,84
Duan Vlahovic,84,91,86500000,22,190,75,80,85,78
Diego Carlos Santos Silva,83,83,30500000,29,186,79,76,47,67
José Ángel Esmoris Tasende,83,85,42000000,25,171,69,78,71,84
Ousmane Dembélé,83,86,48000000,25,178,67,93,77,87
Marco Asensio Willemsen,83,84,43000000,26,182,76,82,80,83
Rúben Diogo da Silva Neves,83,86,47500000,25,180,80,58,74,77
Mikel Merino Zazón,83,86,47000000,26,189,83,73,78,82
Konrad Laimer,83,84,38500000,25,180,72,84,68,79
Presnel Kimpembe,83,86,42000000,26,189,80,80,43,69
Fabián Ruiz Peña,83,85,44500000,26,189,70,61,79,83
Ferland Mendy,83,84,38000000,27,180,73,92,64,78
Ronaldo Jailson Cabrais Petri,83,83,35000000,30,177,75,88,77,84
Gabriel Fernando de Jesus,83,86,48500000,25,175,73,84,82,86
Unai Simón Mendibil,83,86,37000000,25,190,89,82,79,85
Victor Osimhen,83,89,58000000,23,185,78,90,82,78
Pierre-Emile Højbjerg,83,85,40500000,26,187,84,55,73,77
Cristian Romero,83,88,49500000,24,185,79,73,46,65
Raphael Dias Belloli,83,86,48000000,25,176,68,91,79,85
Carlos Soler Barragán,83,88,53000000,25,180,76,80,77,80
Gregor Kobel,83,88,44000000,24,195,88,84,80,88
Pau Francisco Torres,83,89,50500000,25,191,80,73,38,70
Cody Gakpo,83,87,52000000,23,189,76,87,82,84
Ronald Araujo,83,89,52000000,23,192,91,77,51,61
Roy Kent,83,83,0,40,182,82,58,71,75
Duván Zapata,83,83,30500000,31,189,88,78,82,79
Ángel Correa,83,84,42500000,27,171,70,85,84,87
José María Giménez,83,85,38500000,27,185,79,71,46,60
Thomas Lemar,83,86,47000000,26,171,66,82,78,87
Gleison Bremer Silva Nascimento,83,87,45500000,25,188,82,78,50,65
Juan Cuadrado,83,83,13500000,34,179,72,90,75,87
Piotr Zielinski,83,83,36500000,28,180,75,81,77,86
Jesús Navas González,83,83,8000000,36,172,60,85,68,81
Gerard Piqué Bernabeu,83,83,9500000,35,194,85,56,61,68
Kasper Schmeichel,83,83,4000000,35,189,89,81,78,86
Jordan Henderson,83,83,28500000,32,182,80,66,74,78
Fernando Reges Mouta,83,83,12500000,34,183,76,65,62,73
Luká Hrádecký,83,83,18000000,32,192,85,84,77,87
David Josué Jiménez Silva,83,83,12000000,36,173,67,61,72,85
Oliver Baumann,83,83,18000000,32,187,82,83,82,84
Antoine Griezmann,83,83,30500000,31,176,73,80,82,85
Luis Alberto Romero Alconchel,83,83,35500000,29,183,74,54,75,83
Roberto Firmino Barbosa de Oliveira,83,83,35500000,30,181,76,74,76,87
John Stones,83,84,34500000,28,188,76,72,51,75
Hakim Ziyech,83,83,35500000,29,181,65,76,77,83
Jorge Resurrección,83,83,34500000,30,176,75,70,72,79
Ricardo Barbosa Pereira,83,83,33000000,28,175,70,79,67,81
James Maddison,82,84,38000000,25,175,73,73,78,85
Gerónimo Rulli,82,82,20500000,30,189,84,82,79,83
Andrej Kramaric,82,82,25500000,31,177,73,71,80,85
Rafael A. Ferreira Silva,82,82,30000000,29,172,66,91,73,86
Giovanni Di Lorenzo,82,82,27500000,28,183,83,85,66,77
David Soria Solís,82,82,21000000,29,192,85,82,81,83
Manuel Locatelli,82,86,40000000,24,185,75,63,72,78
Robin Gosens,82,82,29500000,27,183,76,82,75,79
Gonçalo Manuel Ganchinho Guedes,82,85,41000000,25,179,68,86,83,83
Jonathan Tah,82,84,33500000,26,195,94,67,37,61
Andreas Christensen,82,86,37500000,26,188,81,68,32,70
Emre Can,82,82,30500000,28,186,86,79,78,80
Anderson Souza Conceição,82,82,31000000,28,190,80,80,82,83
Julian Brandt,82,85,40000000,26,185,83,67,78,85
Timo Werner,82,84,38000000,26,180,76,90,80,82
José Luís Gayà Peña,82,83,32000000,27,172,66,83,61,80
Otávio Edmilson da Silva Monteiro,82,82,32500000,27,171,67,78,69,85
Alejandro Grimaldo García,82,83,33000000,26,172,67,87,65,83
Raphaël Guerreiro,82,82,27500000,28,170,71,74,77,87
André Onana,82,85,30500000,26,190,93,81,80,83
Matthias Ginter,82,83,29000000,28,191,86,60,59,66
Sébastien Haller,82,82,31000000,28,190,82,65,80,74
Aritz Elustondo,82,83,29000000,28,180,71,64,39,62
Tammy Abraham,82,85,42000000,24,195,86,83,81,78
Ismaël Bennacer,82,86,40000000,24,175,70,77,68,86
Alejandro Remiro Gargallo,82,84,28000000,27,192,79,83,76,84
Dani Rojas,82,83,36500000,26,183,75,83,83,82
Florian Wirtz,82,91,66000000,19,176,72,78,73,86
Antony Matheus dos Santos,82,88,49000000,22,174,63,93,74,86
Darwin Núñez,82,89,61500000,23,186,80,89,82,77
Nico Schlotterbeck,82,88,44500000,22,191,86,76,56,72
Bukayo Saka,82,89,60500000,20,178,65,84,74,83
Daniel Olmo Carvajal,82,87,46000000,24,179,72,67,76,86
Aurélien Tchouaméni,82,89,61500000,22,187,81,70,70,78
Ferran Torres García,82,88,49000000,22,184,77,84,79,83
Noussair Mazraoui,82,86,40500000,24,183,65,84,66,82
Arnaut Danjuma,82,83,36500000,25,178,74,88,81,82
Aaron Ramsdale,82,86,34500000,24,191,77,83,77,84
Lucas Tolentino Coelho de Lima,82,87,46000000,24,180,72,72,78,85
Denzel Dumfries,82,84,34500000,26,188,80,83,63,73
Ruslan Malinovskyi,82,82,30500000,29,181,79,76,81,81
Raúl Jiménez,82,82,25500000,31,188,81,73,81,80
Josué Durval Chiamulera Vaz,82,82,25000000,30,185,80,78,43,64
Lucas Luciano Mantela Patrício,82,82,27000000,22,183,77,79,87,81
Ben Chilwell,82,85,37000000,25,180,77,76,60,78
André Miguel Valente da Silva,82,84,38000000,26,185,84,74,83,82
Christian Pulisic,82,88,48000000,23,177,69,87,71,86
Jordan Pickford,82,84,26000000,28,185,77,84,77,87
Sergi Darder Moll,82,82,30500000,28,180,71,82,74,83
Willi Orban,82,82,25500000,29,186,87,57,36,56
Idrissa Gueye,82,82,20500000,32,174,66,67,66,78
Zlatan Ibrahimovic,82,82,0,40,195,102,58,85,77
Iñigo Martínez Berridi,82,82,21000000,31,182,77,71,56,61
Lukasz Fabianski,82,82,3400000,37,190,83,82,82,82
Ivan Rakitic,82,82,14000000,34,184,78,53,80,78
Dimitri Payet,82,82,12500000,35,175,77,70,78,83
Rui Pedro dos Santos Patrício,82,82,5000000,34,190,84,82,80,83
Olivier Giroud,82,82,13000000,35,192,93,42,83,73
Simon Kjær,82,82,14500000,33,190,86,62,54,60
Yuri Berchiche Izeta,82,82,21000000,32,181,80,81,68,76
Toby Alderweireld,82,82,14500000,33,186,81,57,55,67
Marko Arnautovic,82,82,19500000,33,192,83,78,82,79
César Azpilicueta Tanco,82,82,20000000,32,178,77,64,55,72
Philippe Coutinho Correia,82,82,29500000,30,172,68,62,79,88
Christian Eriksen,82,82,29000000,30,181,76,61,78,80
Raúl Albiol Tortajada,82,82,5500000,36,190,82,38,41,63
Sebastián Coates,82,82,21000000,31,196,94,68,49,62
Lucas Digne,82,82,27500000,28,178,74,78,69,79
Francisco Román Alarcón Suárez,82,82,29500000,30,176,79,65,75,88
Geoffrey Kondogbia,82,82,29500000,29,188,76,68,75,76
Gabriel Armando de Abreu,82,82,21000000,31,185,72,67,49,65
José Ignacio Fernández Iglesias,82,82,20000000,32,180,76,75,37,70
Kevin Volland,82,82,30500000,29,179,85,70,85,80
Leonardo Spinazzola,82,82,27000000,29,186,75,91,64,80
Steven Berghuis,82,82,29500000,30,182,75,80,82,82
Anthony Lopes,82,82,16000000,31,184,81,84,78,86
Luis Muriel,82,82,25500000,31,179,79,89,83,86
Wilfried Zaha,82,82,30000000,29,180,66,91,79,86
Francesco Acerbi,82,82,10000000,34,192,88,62,50,64
Evan Ndicka,81,85,34000000,22,192,82,80,51,73
Tomá Soucek,81,83,28000000,27,192,86,57,72,72
Antonín Barák,81,82,30000000,27,190,86,74,79,81
Martin Terrier,81,84,34000000,25,184,78,85,81,78
David Raum,81,85,34500000,24,180,75,87,59,78
Yves Bissouma,81,86,34500000,25,182,80,72,68,79
Alphonse Areola,81,82,20000000,29,195,94,85,79,84
Ibrahim Sangaré,81,86,35500000,24,191,77,66,66,75
Jesús Corona,81,81,25500000,29,173,66,82,65,86
Thomas Delaney,81,81,21500000,30,182,79,72,71,73
Alexandre Lacazette,81,81,22000000,31,175,73,70,81,83
Nicolò Zaniolo,81,88,53000000,22,190,75,87,75,82
Norberto Murara Neto,81,81,13000000,32,190,84,82,78,80
Ibrahima Konaté,81,88,48000000,23,194,95,78,34,67
Pedro Antonio Porro Sauceda,81,87,38500000,22,173,69,82,71,80
Marc Cucurella Saseta,81,85,34500000,23,172,66,76,68,80
Lisandro Martínez,81,86,35000000,24,178,77,72,60,77
Matheus Santos Carneiro Da Cunha,81,86,39500000,23,184,75,84,82,84
Pedro António Pereira Gonçalves,81,86,39000000,24,173,77,76,80,84
Mehdi Taremi,81,81,25500000,29,186,83,77,80,81
Rodrygo Silva de Goes,81,88,52500000,21,174,64,88,76,84
Edmond Tapsoba,81,86,35000000,23,192,84,70,54,70
Dejan Kulusevski,81,87,41500000,22,186,75,78,77,83
Bruno Guimarães Moura,81,86,38500000,24,182,74,69,67,81
Joko Gvardiol,81,89,53000000,20,185,80,82,54,74
Jamal Musiala,81,90,55500000,19,183,70,76,73,87
Sam Obisanya,81,88,52500000,22,185,77,89,74,81
Pablo Sarabia García,81,81,25000000,30,174,70,73,76,82
Marc Bartra Aregall,81,81,17500000,31,184,73,71,61,73
Felipe Augusto de Almeida Monteiro,81,81,12500000,33,190,84,59,43,61
Harry Maguire,81,82,24000000,29,194,100,48,57,67
Juan Heberto Mestres de Mesquita,81,81,24500000,26,181,82,71,61,63
Marvin Oswaldo Rangel Azevedo,81,81,25500000,30,184,79,76,81,77
Nailton Padrenda Mendes,81,81,28000000,26,180,75,82,73,82
Welington Kauê Dano Nascimento,81,81,27500000,22,178,69,79,54,79
Louri Adriano Bisesi Barbosa,81,81,25500000,30,188,83,78,84,72
Rosival Jailson Dourado Santos,81,81,27000000,22,175,70,77,57,77
Adryan Juliano Zonta Torres,81,81,22000000,30,172,68,93,66,76
Gianluca Mancini,81,83,28000000,26,190,77,67,45,59
Guido Rodríguez,81,82,26500000,27,185,80,51,57,68
Dayot Upamecano,81,87,37000000,23,186,90,82,43,68
João Maria Palhinha Gonçalves,81,83,28500000,26,190,85,63,65,72
Denis Zakaria,81,86,34500000,25,191,81,82,64,77
Manuel Akanji,81,82,26500000,26,187,91,77,48,74
André-Franck Zambo Anguissa,81,83,28500000,26,184,78,78,68,81
Kieran Tierney,81,85,33000000,25,178,70,84,60,78
Marcus Rashford,81,85,37000000,24,186,70,87,82,81
Richarlison de Andrade,81,84,34500000,25,181,71,82,79,82
Gabriel dos S. Magalhães,81,87,37000000,24,190,87,68,36,58
Henrikh Mkhitaryan,81,81,16000000,33,177,75,82,79,83
Nicolás Otamendi,81,81,8500000,34,182,78,63,57,59
Mario Götze,81,81,25000000,30,176,72,67,74,84
Chris Smalling,81,81,16500000,32,194,81,62,47,60
Nick Pope,81,81,17000000,30,199,76,80,82,83
Rafael Tolói,81,81,17500000,31,185,75,67,52,65
Edinson Cavani,81,81,11000000,35,185,77,61,83,72
Éver Banega,81,81,12000000,34,176,78,62,74,82
Antonio Adán Garrido,81,81,2900000,35,190,94,79,82,80
Gareth Bale,81,81,20500000,32,185,82,80,84,79
Jan Vertonghen,81,81,7000000,35,191,89,69,62,67
Carlos Vela,81,81,16000000,33,177,77,77,79,83
João Filipe Moutinho,81,81,10500000,35,170,61,47,71,79
Képler Laveran Lima Ferreira,81,81,4600000,39,187,79,77,51,61
Giovani Lo Celso,81,83,31500000,26,177,68,71,75,84
Oscar dos Santos Emboaba,81,81,25000000,30,179,70,79,78,83
Joe Gomez,81,86,34000000,25,188,77,80,30,69
José Pedro Malheiro de Sá,81,82,20000000,29,192,84,83,78,83
Borja Iglesias Quintás,81,81,25500000,29,187,86,66,82,74
James Ward-Prowse,81,82,29500000,27,173,66,59,74,78
Lucas Ocampos,81,81,27500000,27,188,84,80,81,82
Edin Vica,81,81,20500000,32,172,63,87,78,82
Téji Savanier,81,81,25000000,30,172,69,64,76,83
Emil Forsberg,81,81,25000000,30,177,76,71,73,83
Lucas Vázquez Iglesias,81,81,18500000,31,173,70,82,73,80
Gaëtan Laborde,81,81,26500000,28,181,78,74,81,79
Jonas Hofmann,81,81,25500000,29,176,73,73,76,80
Nicolás Tagliafico,81,81,22500000,29,172,65,80,56,75
Kerem Demirbay,81,81,25500000,28,183,75,69,76,82
Odisseas Vlachodimos,81,83,22000000,28,190,81,84,78,84
Vincenzo Grifo,81,81,25500000,29,180,76,74,75,81
Robert Andrich,81,82,26500000,27,186,86,63,76,73
Robin Le Normand,81,86,34000000,25,187,81,63,25,58
Ricardo Jorge da Luz Horta,81,81,28000000,27,173,63,79,82,80
Stanislav Lobotka,81,82,29500000,27,170,64,71,68,81
Kalvin Phillips,81,85,32000000,26,178,72,66,65,76
Mateus Uribe,81,81,21000000,31,183,77,75,76,79
Lucas Torreira,81,83,28500000,26,166,60,72,70,80
Mario Paalic,81,81,27500000,27,188,82,75,79,80
Naby Keïta,81,82,29500000,27,172,64,69,74,86
Corentin Tolisso,81,81,27500000,27,181,81,69,78,79
Hirving Lozano,81,81,28000000,26,175,70,93,76,82
Matteo Politano,81,81,26000000,28,171,67,83,77,84
Allan Saint-Maximin,81,83,32500000,25,173,67,90,73,88
Seko Fofana,81,81,27500000,27,185,74,73,74,80
Iñaki Williams Arthuer,81,81,26500000,28,186,80,94,78,78
Juan Musso,81,82,20500000,28,191,93,82,78,86
Benjamin Bourigeaud,81,81,26000000,28,178,70,76,77,81
Youssef En-Nesyri,80,85,31500000,25,188,78,78,80,74
Javier Galán Gil,80,80,20500000,27,172,70,78,55,82
Florian Neuhaus,80,84,29000000,25,185,77,68,73,80
Harvey Barnes,80,83,29000000,24,180,66,86,77,81
Alexander Isak,80,85,33000000,22,192,77,83,79,83
Luis Sinisterra,80,86,33500000,23,172,60,89,73,85
Xaver Schlager,80,84,27500000,24,174,78,67,70,77
Daichi Kamada,80,82,26500000,25,184,76,74,68,83
Mauro Arambarri,80,85,28000000,26,175,74,61,64,73
Alban Lafont,80,85,25500000,23,196,90,83,77,86
Maikel Renan Catarino Fagundes,80,80,21000000,26,177,75,76,51,77
Renato Júnior Luz Sanches,80,85,31500000,24,176,70,83,74,84
Arthur Henrique Ramos Oliveira Melo,80,82,26500000,25,171,73,71,65,86
Tony Josimar Abranjes Meneses,80,80,7000000,34,179,80,67,39,58
Laureano Thomas Santeiro Marre,80,80,25000000,22,171,63,80,72,82
Héniton Enaldo Pires Tramontino,80,80,16500000,26,182,74,81,75,79
Mattéo Guendouzi,80,86,33000000,23,185,68,73,66,77
Leon Bailey,80,83,29000000,24,178,77,92,78,83
Aaron Wan-Bissaka,80,83,26500000,24,183,72,82,50,75
Djibril Sow,80,82,26500000,25,184,76,77,69,78
Mario Hermoso Canseco,80,82,22500000,27,184,76,75,49,71
Davide Calabria,80,83,25500000,25,177,70,79,57,74
Edson Álvarez,80,84,27500000,24,187,73,71,57,69
Teun Koopmeiners,80,84,30000000,24,183,77,70,72,76
Boubacar Kamara,80,86,31000000,22,184,68,70,54,73
Viktor Tsygankov,80,85,32000000,24,178,72,85,74,80
Marko Dmitrovic,80,81,16000000,30,194,94,77,79,81
Isaac McAdoo,80,83,24500000,26,184,89,63,62,56
Jeremie Frimpong,80,86,31500000,21,171,64,94,54,83
Nuno Alexandre Tavares Mendes,80,88,44000000,20,176,70,89,57,78
Sven Botman,80,86,31000000,22,193,81,58,37,62
Jurriën Timber,80,88,44500000,21,179,77,82,47,77
Renan Augusto Lodi dos Santos,80,85,29500000,24,173,68,83,68,80
Sergio Reguilón Rodríguez,80,83,25500000,25,178,68,83,57,78
Vladimír Coufal,80,80,18500000,29,175,76,73,56,75
Amir Rrahmani,80,80,18000000,28,192,83,61,51,61
Scott McTominay,80,83,25000000,25,193,88,63,74,75
Lovro Majer,80,85,31500000,24,178,76,69,73,83
William Saliba,80,87,40000000,21,192,85,78,39,71
Dominik Livakovic,80,83,20500000,27,187,79,80,76,84
Ridle Baku,80,84,30000000,24,176,75,82,73,81
Nicolás González,80,85,32000000,24,180,72,87,73,83
Emile Smith Rowe,80,87,43000000,21,182,72,78,71,81
Jonathan Clauss,80,80,18500000,29,178,69,84,69,78
Weston McKennie,80,85,31500000,23,183,84,82,74,80
Nikola Milenkovic,80,85,29000000,24,195,90,64,45,62
Nayef Aguerd,80,83,24500000,26,188,76,73,50,65
Nélson Cabral Semedo,80,80,19000000,28,177,69,83,57,80
Charles Aránguiz,80,80,10500000,33,171,69,46,71,77
Lucas Rodrigues M. Silva,80,80,20500000,29,174,70,89,77,85
Jonathan Viera Ramos,80,80,16500000,32,171,67,80,75,81
Danilo Luiz da Silva,80,80,18000000,30,184,78,72,67,74
Sergio Roberto Carnicer,80,80,18000000,30,178,68,74,63,77
Allan Marques Loureiro,80,80,15000000,31,175,74,70,69,79
Jasper Cillessen,80,80,7000000,33,185,83,80,79,76
Hans Vanaken,80,80,20500000,29,195,80,44,79,76
Stefan Ortega,80,80,14500000,29,185,88,76,74,85
Danilo Luís Hélio Pereira,80,80,17500000,30,188,83,56,63,71
Álvaro Borja Morata Martín,80,80,21000000,29,190,84,80,78,78
Luke Shaw,80,81,22500000,26,181,75,76,54,78
Cristiano Biraghi,80,80,18500000,29,185,78,76,69,77
Eric Dier,80,81,20000000,28,188,90,54,64,65
Gerard Deulofeu Lázaro,80,80,21500000,28,177,73,90,79,83
Thorgan Hazard,80,80,20500000,29,175,71,75,76,83
Tomá Vaclík,80,80,0,33,188,85,78,75,83
Edgar Badia Guardiola,80,81,16000000,30,180,70,78,77,83
Kurt Zouma,80,82,22500000,27,190,95,62,51,56
Marcel Sabitzer,80,80,21000000,28,178,76,72,81,79
Kevin Kampl,80,80,17500000,31,178,66,69,66,83
Andy Delort,80,80,20500000,30,181,83,82,81,75
Bernd Leno,80,80,14000000,30,190,83,82,78,82
Alex Sandro Lobo Silva,80,80,15500000,31,180,80,76,65,78
Yeray Álvarez López,80,82,22500000,27,182,79,65,49,64
Guillermo Ochoa,80,80,0,36,185,78,82,73,84
Héctor Herrera,80,80,16500000,32,185,78,66,75,76
Andrea Consigli,80,80,2300000,35,189,82,80,81,81
